date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:57	18333/18333	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:59%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/tag/marketing/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/tag/marketing/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:58	18339/18339	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:00%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/tag/web-design/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/tag/web-design/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:58	19991/19991	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:01%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/category/consulting/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/category/consulting/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:52:00	14763/14763	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:01%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/category/consulting-2/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/category/consulting-2/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:52:00	16851/16851	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2221c579427e53cc9aa445c378c4fb178a%22	http://paul-themes.com/wp/jonny/jonny-demo/author/admin/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/author/admin/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:02	58482/58482	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c04-e472%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/1-324x216.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/1-324x216.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:02	20835/20835	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:04%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-21/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-21/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:04	52148/52148	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c04-cbb4%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/2-324x216.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/2-324x216.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:05	20866/20866	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:06%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-19/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-19/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:05	57372/57372	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c04-e01c%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/3-324x216.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/3-324x216.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
